industria_clean,sugerencia_top,score_top,cand_1,score_1,cand_2,score_2,cand_3,score_3,cand_4,score_4,cand_5,score_5
renewables & environment,,,Venta Minorista,35.8974358974359,Servicios Profesionales,34.04255319148936,Banca de Inversión,33.33333333333333,Telecomunicaciones,33.33333333333333,Venta al por Mayor,33.33333333333333
reparacion y mantenimiento,,,"Sanidad, Bienestar y Ejercicio",46.42857142857143,Hospitales y Atención Sanitaria,45.6140350877193,Logística y Cadena de Suministro,44.827586206896555,Servicios y Tecnologías de la Información,41.791044776119406,Petróleo y Gas,40.0
reparacion y mantenimiento de vehiculos,,,Servicios y Tecnologías de la Información,52.5,Logística y Cadena de Suministro,42.25352112676056,"Sanidad, Bienestar y Ejercicio",40.57971014492754,Telecomunicaciones,38.59649122807018,Hospitales y Atención Sanitaria,37.142857142857146
rescate animal silvestre,,,Logística y Cadena de Suministro,46.42857142857143,Banca de Inversión,42.857142857142854,Envases y Embalajes,41.86046511627907,Consultoría de Gestión,39.130434782608695,Petróleo y Gas,36.8421052631579
research,,,Reaseguros,44.44444444444444,Servicios Profesionales,38.70967741935484,Venta Minorista,34.78260869565217,Banca,30.769230769230774,Servicios Públicos,30.769230769230774
restauracion,,,Telecomunicaciones,46.666666666666664,Servicios Profesionales,45.714285714285715,Reaseguros,45.45454545454545,"Sanidad, Bienestar y Ejercicio",42.857142857142854,Seguros,42.10526315789474
restaurante,,,Venta Minorista,46.15384615384615,Reaseguros,38.095238095238095,Logística y Cadena de Suministro,37.2093023255814,Consultoría de Gestión,36.36363636363637,Desarrollo de Software,36.36363636363637
restaurants,,,Reaseguros,47.61904761904762,Venta Minorista,46.15384615384615,Seguros,44.44444444444444,Productos Farmacéuticos,35.294117647058826,Servicios Profesionales,35.294117647058826
retail & consumer,,,Consultoría de Gestión,46.15384615384615,Venta al por Mayor,40.0,Venta Minorista,37.5,Banca de Inversión,34.28571428571429,Educación Superior,34.28571428571429
retail apparel & fashion,,,Servicios Profesionales,38.297872340425535,Banca de Inversión,38.095238095238095,Hospitales y Atención Sanitaria,36.36363636363637,Desarrollo de Software,34.78260869565217,Productos Farmacéuticos,34.04255319148936
retail de tecnologia,,,Servicios y Tecnologías de la Información,49.18032786885246,Desarrollo de Software,42.857142857142854,"Sanidad, Bienestar y Ejercicio",40.0,Venta Minorista,40.0,Logística y Cadena de Suministro,38.46153846153846
retail textil,,,Venta Minorista,42.857142857142854,Servicios Profesionales,38.888888888888886,Venta al por Mayor,38.70967741935484,Petróleo y Gas,37.03703703703704,Consultoría de Gestión,34.28571428571429
retailers,,,Reaseguros,52.63157894736842,Venta al por Mayor,44.44444444444444,Servicios Profesionales,43.75,Seguros,37.5,Telecomunicaciones,37.03703703703704
salud,,,Desarrollo de Software,29.629629629629633,Reaseguros,26.66666666666667,Consultoría de Gestión,22.22222222222223,Marketing y Publicidad,22.22222222222223,Logística y Cadena de Suministro,21.621621621621628
salud & farmaceutica,,,Productos Farmacéuticos,51.16279069767442,Venta al por Mayor,42.10526315789474,Marketing y Publicidad,38.095238095238095,Servicios y Tecnologías de la Información,36.0655737704918,Logística y Cadena de Suministro,34.61538461538461
salud integral,,,Venta Minorista,41.37931034482759,Consultoría de Gestión,38.888888888888886,Seguros,38.095238095238095,Venta al por Mayor,37.5,"Sanidad, Bienestar y Ejercicio",36.36363636363637
salud publica,,,Marketing y Publicidad,40.0,Servicios Públicos,38.70967741935484,Consultoría de Gestión,34.28571428571429,Banca de Inversión,32.25806451612904,Educación Superior,32.25806451612904
salud y bienestar,,,"Sanidad, Bienestar y Ejercicio",55.319148936170215,Venta al por Mayor,45.714285714285715,Venta Minorista,43.75,Hospitales y Atención Sanitaria,41.666666666666664,Logística y Cadena de Suministro,40.816326530612244
salud y servicios sociales,,,"Sanidad, Bienestar y Ejercicio",50.0,Servicios Profesionales,48.97959183673469,Servicios y Tecnologías de la Información,47.76119402985075,Servicios Públicos,45.45454545454545,Envases y Embalajes,44.44444444444444
sanidad bienestar y ejercicio,,,"Sanidad, Bienestar y Ejercicio",88.13559322033899,Servicios Públicos,46.808510638297875,Servicios Profesionales,46.15384615384615,Hospitales y Atención Sanitaria,43.333333333333336,Marketing y Publicidad,43.13725490196079
sector automovilistico,,,Productos Farmacéuticos,44.44444444444444,Servicios Públicos,40.0,Dispositivos Médicos,38.095238095238095,Venta Minorista,37.83783783783784,Logística y Cadena de Suministro,37.03703703703704
